"seq_number","Site","Bio_rep1.x","Bio_rep2.x","Bio_rep3.x","Bio_rep4.x","Bio_rep0.x","Bio_rep1.y","Bio_rep2.y","Bio_rep3.y","Bio_rep4.y","Bio_rep0.y","max_Occupancy_prob","sum.taxonomy"
"merged_fishcard_12S_all_elas_1","LA11",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LA14",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LA3",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LA6",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LB1",3,3,3,3,3,3,3,3,3,3,0.998600227592784,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LB14",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_1","LB2",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax"
"merged_fishcard_12S_all_elas_4","LA11",3,3,3,2,NA,3,3,3,2,NA,0.997726425611421,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LA14",3,2,3,2,NA,3,2,3,2,NA,0.997559787826325,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LA3",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LA6",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LB1",3,3,3,2,2,3,3,3,2,2,0.9980703599275,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LB14",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_4","LB2",3,3,3,2,NA,3,3,3,2,NA,0.997726425611421,"Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres semicinctus"
"merged_fishcard_12S_all_elas_6","LA11",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_elas_6","LA14",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_elas_6","LA3",3,3,3,2,NA,3,3,3,2,NA,0.997726425611421,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"merged_fishcard_12S_all_elas_6","LA6",3,3,3,3,NA,3,3,3,3,NA,0.998287241341756,"Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
