sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,0.02666485704766349,0,0,0,1,0,0.03604132210379113
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0.5781674225140656,1,0.5424282043306781,0.7973687461705042,0,0.26900675955510434,0.139866639479042
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0.782241456634576,1,0.8262470951830221,0.5502057498086869,0.21733784404151424,0.6285467176597469,0.5913725230693336
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;,0.21774341845599854,1,0.5703984050409043,0.3770486308824361,0,0.5057763495311738,0.23835593603224492
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;Phanerodon vacca,0.35876191311220973,0.2300991011280622,0.7845961573564205,0.1972963725760529,1,0.5104453292359632,0.04551008757786762
Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps,0.81775979281258,1,0.6043405212382271,0.12342288728700768,0,0.33951476324033814,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis,1,0.31693338809252963,0.4365194995180446,0.29161531944471486,0.5070335210121392,0.5092917597958188,0
Eukaryota;Chordata;Actinopteri;;Sciaenidae;;,0.051498659605325264,0.07623394751139294,0.22035524977098636,0,0.04875649471877884,0.542134297713797,1
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Cheilotrema;Cheilotrema saturnum,0.14366218058930014,0.14254991546209445,1,0.23026559623549325,0.12532791206537017,0.3151291702161725,0.14886236646808018
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus,0.33330445066065106,0.2530391154154927,0.2038486207766713,0.18897409368125756,0.30406131860724095,1,0.11339682434868158
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;Menticirrhus undulatus,0.12743286798069633,0.5379030926418904,0.67599813748394,0.1394202459888817,0.9009936683404303,0.35291455626140905,1
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Seriphus;Seriphus politus,0.5328453060980152,0.1463426271989626,0.6462355846008724,0.3347601750107703,0.46329254681144566,1,0.3539160069357813
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Umbrina;Umbrina roncador,0.15965159740576892,0.2558622676550841,0.22606838380902386,0,0,0.2897835990384613,1
Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea,1,0,0.19571139175273444,0.8671658979287561,0.4196284076014563,0.49614217262883453,0.03980546905696336
Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;Albula pacificus,0,1,0.24468477368393315,0,0,0,0.06370043223913846
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis,0.3526520469319987,0.41179168527835763,1,0.41552443753510226,0.3457106763884284,0.22614672785232603,0.5881532998347697
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis,0.1849589961421822,0.1258023689399511,1,0.03963301523733332,0.43239528891942597,0.013164886576346563,0.18176828822813715
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps,0.30340008598329743,0.03618087149940694,0.03558444073219738,0.07159851183011112,1,0.1325025869841139,0.20035912339839387
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster,1,0,0.1372550119906374,0.0264411336465568,0.15568822079126496,0.31249081603035167,0.7564154119956288
