sum.taxonomy,LA11,LA14,LA3,LA6,LB1,LB14,LB2
Eukaryota;Chordata;Actinopteri;;Embiotocidae;;,1,0,0.06628902169514218,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus,0.025438018987689753,0,0,0,1,0,0.03253218699832656
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Cymatogaster;Cymatogaster aggregata,0.5438307593234509,1,0.5186433168910589,0.7963989631748568,0,0.266118948660495,0.12447805959517082
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni,0.7357850836459304,1,0.7900170577341212,0.5495365736178284,0.18932398860278946,0.6217992141322121,0.5263078060912545
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Micrometrus;Micrometrus minimus,0,0,1,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;,0.20481190047287523,1,0.5453870546883228,0.3765900534017937,0,0.5003467965532953,0.21213124531193414
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;Phanerodon furcatus,0,1,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Phanerodon;Phanerodon vacca,0.342255439115807,0.23337202728589757,0.7608631946788368,0.19985934249222612,1,0.512148278237847,0.041079033536277294
Eukaryota;Chordata;Actinopteri;;Embiotocidae;Rhacochilus;Rhacochilus toxotes,0,0.5648068907573686,0.3095122546948066,1,0,0.7848240647917811,0
Eukaryota;Chordata;Actinopteri;;Malacanthidae;Caulolatilus;Caulolatilus princeps,0.7691940288431491,1,0.5778408459667526,0.1232727767917826,0,0.3358700428110535,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Chromis;Chromis punctipinnis,1,0.336944089609913,0.4437312557382891,0.30965041145358435,0.5314869983666932,0.5356351942340162,0
Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus,1,0,0.06988309812264229,0,0,0,0.020212957637089655
Eukaryota;Chordata;Actinopteri;;Sciaenidae;;,0.05442863046381359,0.08565835688086086,0.23673978840643614,0,0.05401569008876323,0.6026162243548445,1
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Cheilotrema;Cheilotrema saturnum,0.1413273064710572,0.14908722845422412,1,0.24053263526906307,0.12923715972028194,0.3260428562612497,0.13855974175434435
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Genyonemus;Genyonemus lineatus,0.31691198048980157,0.2557849894614307,0.19702516243321974,0.19079243120387548,0.3030502814896013,1,0.1020156863467512
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Menticirrhus;Menticirrhus undulatus,0.13468304871274828,0.6044012750350085,0.7262620527417285,0.15646552160376032,0.9981807560556628,0.39228663139550946,1
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Seriphus;Seriphus politus,0.5066390830230586,0.14793067583397382,0.6246040348028925,0.33798128842077524,0.46175204845638457,1,0.3183950217656609
Eukaryota;Chordata;Actinopteri;;Sciaenidae;Umbrina;Umbrina roncador,0.16873483435785538,0.28749319890420394,0.24287772314912215,0,0,0.32211261871630426,1
Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea,1,0,0.1989447475327255,0.9207961968646252,0.4398664655155091,0.5218054364560609,0.0376626838472032
Eukaryota;Chordata;Actinopteri;Albuliformes;Albulidae;Albula;Albula pacificus,0,1,0.23395561219528546,0,0,0,0.05669190473179107
Eukaryota;Chordata;Actinopteri;Anguilliformes;Ophichthidae;Myrophis;Myrophis vafer,1,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;;,0,0,0,0,0,1,0
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Atherinops;Atherinops affinis,0.34692055842368463,0.43067637647929363,1,0.43405176289034975,0.34501819272820006,0.23397873650518652,0.5474477617856868
Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis,0.18195294422749517,0.13157164251858414,1,0.04140016465571025,0.4458826297786712,0.013620818468702759,0.16918827554323726
Eukaryota;Chordata;Actinopteri;Aulopiformes;Synodontidae;Synodus;Synodus lucioceps,0.28944078471202983,0.03669550767209578,0.03450805997773966,0.07252860917284158,1,0.13294464245083623,0.18085131423443823
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys myriaster,1,0,0.1395226075678707,0.028076398484640424,0.16319683358256573,0.32865459870756353,0.7156964908107186
Eukaryota;Chordata;Actinopteri;Batrachoidiformes;Batrachoididae;Porichthys;Porichthys notatus,1,0.07862797735338266,0,0.09553774484356811,0,0,0
Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Cololabis;Cololabis saira,0,0,0,0,0,1,0
Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Strongylura;Strongylura exilis,0,0,0,0,0,1,0
Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;Cheilopogon;Cheilopogon pinnatibarbatus,0,0,1,0,0,0,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius gentilis,0.14551655558524898,0.23882431171067198,0.2288046172661592,0.05273691333165663,1,0.10111905576430652,0.06077249248935529
Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Hypsoblennius;Hypsoblennius jenkinsi,0.25826009980114506,0.42794119928810104,0.21393592397714803,0.3531990710526776,1,0.7015045535400468,0.2699866397550105
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Gibbonsia;,1,0.1820889973970455,0.8024000843248372,0.46609818298217276,0.1861685026192044,0.09134205905675143,0.22660824482162478
Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus,0.0901100828868735,0.57649924798694,0.07026467450975063,1,0.2124471081464898,0.03914979896794408,0.1754820108071241
Eukaryota;Chordata;Actinopteri;Blenniiformes;Gobiesocidae;Gobiesox;Gobiesox rhessodon,0.1371529293494788,0.09973130270178464,0.008550345834685539,1,0.02131444760172246,0.10706895583056768,0.38716483695587944
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Alloclinus;Alloclinus holderi,0,0,0,1,0,0,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Neoclinus;Neoclinus blanchardi,0,0,1,0,0,0,0
Eukaryota;Chordata;Actinopteri;Blenniiformes;Labrisomidae;Paraclinus;Paraclinus integripinnis,1,0.14526442920306407,0.10141175222167866,0.30791556952960797,0.13094340532384918,0.18177006194865786,0.9853164154620491
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Decapterus;Decapterus muroadsi,0,0,1,0.11933519256219499,0,0,0
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Seriola;Seriola dorsalis,1,0.11003786497015232,0.14347664601277818,0.013973674339166771,0,0.41120846690211615,0
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus,0.48560600397450315,0.5596664230899027,0.7268300375538501,0.3431252142957088,1,0.07739272188300289,0.24238494835273452
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Uraspis;Uraspis helvola,0,0,0,1,0,0,0
Eukaryota;Chordata;Actinopteri;Carangiformes;Coryphaenidae;Coryphaena;Coryphaena hippurus,0.04442269662627006,0,1,0.10258461257685926,0,0,0
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans,0.14373220947340962,0.2819434490736222,0.22124193990530566,0.8820757634089742,1,0.6205102338746786,0.7333912000493019
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus azureus,0.15021247508795113,0,0.0872186568031108,0,1,0,0.18330038449300823
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis,0.1954193422895718,0,1,0.21720471256356966,0.4644683009523967,0.07258174783527827,0.43820846466732544
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax,0.5739571858880644,0.37288102553573227,0.7201414406154237,1,0.614544405270803,0.28512806852853145,0.5792863076956027
Eukaryota;Chordata;Actinopteri;Clupeiformes;Dussumieriidae;Etrumeus;Etrumeus teres,0.28267542722225264,0.5584108050462968,0.181996869213337,1,0.1972330881811667,0.37597330359156134,0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Anchoa;Anchoa delicatissima,0,0,0,0,0,0,1
Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax,0.44423647591823173,0.4787935049934097,0.4434654417838571,1,0.6639349278272364,0.9840216399741208,0.4978319495301461
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;,0.1407630145681369,1,0.1765318619406051,0.6561557039282667,0.0657580983450625,0.34689988973839103,0.5148167593574762
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Acanthogobius;Acanthogobius flavimanus,0,1,0,0.24875253124300267,0,0,0.8144774179213206
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Clevelandia;Clevelandia ios,0.14158211741344734,1,0.1629530983364858,0.5761910488542124,0,0,0.41771757308479257
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Gillichthys;Gillichthys mirabilis,0,0.8873015395424911,0,1,0,0,0
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lepidogobius;Lepidogobius lepidus,0.006800796068233361,0.6820135412453001,0.2607982813274211,0.5806468536331828,0,1,0
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Lythrypnus;Lythrypnus zebra,1,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Rhinogobiops;Rhinogobiops nicholsii,1,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Tridentiger;Tridentiger trigonocephalus,0.01866265340408704,1,5.545750852793717e-4,0.3473796046122832,0.0011815160981104769,0.027699979391851603,0
Eukaryota;Chordata;Actinopteri;Istiophoriformes;;;,1,0,0,0,0,0,0
Eukaryota;Chordata;Actinopteri;Kurtiformes;Apogonidae;Apogon;Apogon pacificus,0,0,1,0,0,0,0
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus pulcher,0.6756625816482859,0.03148790730503567,0.1377601798728168,0.5728328883399898,1,0.5565243715103991,0.14829446660816079
Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres californica,0.27964811411536233,0.1665005664344945,0.36510047190314804,0.43042967448544966,1,0.09965466845029164,0
